class,cap-diameter,cap-shape,cap-surface,cap-color,does-bruise-or-bleed,gill-attachment,gill-spacing,gill-color,stem-height,stem-width,stem-root,stem-surface,stem-color,veil-type,veil-color,has-ring,ring-type,spore-print-color,habitat,season
e,9.44,s,t,p,t,d,c,o,6.63,18.16,,,w,,,f,f,,d,a
p,16.93,f,k,w,t,d,d,n,5.87,29.45,,,w,,,f,f,,d,w
e,5.08,p,,g,f,f,f,f,5.19,18.48,,,n,,,f,f,,l,s
e,3.75,f,d,g,t,d,c,p,3.74,5.28,,,n,,,f,f,,d,u
p,3.44,o,,k,f,f,f,f,4.1,15.69,,g,g,,,f,f,,d,u
p,4.96,x,s,n,t,s,d,w,5.19,14.81,r,y,w,,,f,f,,d,a
e,11.51,f,,b,f,d,c,y,2.56,15.4,,,w,,,f,f,,d,a
p,11.78,f,t,k,t,d,c,w,4.76,23.95,,,n,,,f,f,,d,a
p,1.8,f,h,n,f,,,y,7.29,3.04,,,y,,,f,f,,g,a
e,7.16,f,,p,f,x,c,w,6.35,19.49,,s,w,,,f,f,,d,a
e,4.23,x,d,n,f,p,,e,4.83,11.3,,,y,,,f,f,,d,a
p,3.23,x,,w,f,x,c,p,8.22,3.83,,,n,,,f,f,,d,u
e,5.05,f,y,n,f,s,,w,4.29,7.5,,,w,,,f,f,,d,a
e,10.89,f,y,y,f,,,w,7.06,25.64,b,,n,,w,t,e,,d,w
e,9.28,f,g,n,f,s,,y,10.41,13.06,,i,n,,,f,f,,d,a
p,0.82,b,t,n,f,,c,k,3.45,2.44,,,n,,,t,f,,g,u
p,7.25,x,d,e,t,d,c,n,7.98,10.44,,,e,,,f,f,,d,a
e,4.57,x,t,n,f,p,,n,4.93,10.14,,,e,,,f,f,,d,a
p,15.52,s,t,k,t,d,c,w,4.79,25.54,,,n,,,f,f,,g,a
e,4.09,x,,n,f,x,c,w,7.63,8.15,b,,w,,w,t,,,d,s
e,5.18,x,,l,f,d,,r,6.78,9.05,,,w,,,f,f,,d,a
e,14.25,x,e,l,f,x,c,w,7.84,23.58,,,w,,,f,f,,d,u
p,1.03,x,g,w,f,a,d,w,3.34,1.88,,,e,,,f,f,,d,u
e,4.47,x,,w,f,x,c,w,7.94,9.07,b,,w,,w,t,,,d,s
e,8.98,x,s,y,f,x,,n,7.1,21.96,,,w,,,f,f,,d,w
p,2.22,f,t,y,f,,,n,7.79,2.84,,,y,,,f,f,,g,a
e,3.88,f,s,w,f,d,d,w,4.06,6.72,,,w,,,f,f,,m,a
p,17.85,s,k,w,t,d,d,w,6.96,28.44,,,w,,,f,f,,d,u
e,3.45,x,t,n,f,d,,o,5.82,6.59,,t,w,,,f,f,,d,a
e,11.35,f,,n,t,,,w,12.43,21.07,b,,w,u,w,t,g,,d,u
p,0.94,b,t,n,f,,c,g,3.23,2.29,,,n,,,t,f,,g,u
p,6.97,x,h,e,f,x,d,w,6.07,16.38,b,,w,,,f,f,,d,a
p,5.42,x,,e,f,,c,g,3.64,11.46,,,y,,,f,f,,d,a
p,10.46,f,h,r,f,,c,w,11.35,18.97,,,w,u,w,t,g,,d,u
p,5.6,s,,n,t,d,c,p,6.28,6.12,,,n,,,f,f,,d,a
e,7.7,x,,w,f,e,,w,6.3,13.44,b,,y,u,y,t,g,,d,a
p,9.04,f,t,n,t,d,c,n,6.26,13.03,,,n,,,f,f,,d,a
e,13.21,p,s,w,f,e,c,k,24.14,14.3,,s,w,,,t,e,,u,u
e,4.04,f,h,n,f,,c,k,6.97,7.5,,s,w,,w,f,f,k,d,u
p,3.31,x,t,n,f,a,c,n,4.2,6.04,,y,o,,,t,z,,d,w
p,7.89,x,,n,t,x,,n,7.48,17.11,s,,g,,u,f,f,,d,a
p,5.49,x,e,e,f,a,,n,8.87,10.27,,,e,,w,t,z,,d,a
e,1.9,c,g,n,f,a,,g,4.9,1.43,,,g,,,f,f,,d,u
p,2.96,x,t,n,f,s,c,n,5.18,7.42,,,w,,n,t,z,,d,u
e,6.5,b,h,k,f,s,d,w,4.94,10.38,,s,g,,,f,f,,d,u
p,5.6,s,,u,f,a,,w,5.08,9.06,,,y,,,f,f,,d,a
e,1.02,p,g,g,f,,,g,2.91,1.4,,,w,,,f,f,,d,s
e,1.43,x,t,n,f,d,,w,5.32,1.95,,t,y,,,f,f,,h,a
p,5.64,f,,y,f,s,d,y,5.97,12.01,,i,y,,,f,f,,d,a
p,2.89,o,,k,f,f,f,f,2.9,11.57,,g,n,,,f,f,,d,a
e,13.51,f,y,n,f,,,w,20.77,17.96,s,,n,,,t,m,,m,a
p,8.87,p,g,n,f,e,,w,9.29,17.1,,y,w,u,w,t,p,,d,a
e,10.68,f,e,b,f,,c,b,4.93,18.4,,,w,,,t,f,,d,a
p,1.47,b,h,n,f,a,,n,4.61,1.62,,t,n,,,f,f,,h,s
e,9.84,f,y,w,f,e,c,p,19.41,12.5,,s,w,,,t,e,,g,a
p,3.8,x,h,y,f,a,c,y,6.29,7.32,,g,o,,,f,f,,g,u
p,2.72,x,g,e,f,a,,w,6.84,2.49,,,n,,,f,f,,d,a
p,5.71,s,k,y,f,p,,n,4.13,6.04,,k,n,,,t,f,,d,u
p,10.58,x,e,n,f,a,,n,11.68,17.34,s,,n,,n,f,f,,h,a
p,13.02,f,,n,f,e,,w,11.12,13.55,,,w,u,w,t,g,,d,u
e,11.36,x,h,n,t,p,,y,8.23,21.64,,,n,,,f,f,,d,u
p,8.65,s,,o,t,d,,o,5.02,12.53,,,w,,,t,f,,d,u
e,9.3,p,s,n,t,e,,g,7.07,17.19,s,,w,,,t,r,,m,u
p,6.14,s,t,g,t,d,,g,4.54,12.12,,t,r,,,f,f,,d,a
p,6.25,b,i,k,f,e,,k,7.97,9.28,,,y,,,f,f,,m,u
p,3.71,f,,p,f,x,,w,5.08,6.79,,,w,,,f,f,,d,u
p,4.45,s,k,n,f,p,,n,3.35,5.78,,k,n,,,t,f,,d,u
p,5.05,s,,u,f,a,,w,4.92,8.49,,,y,,,f,f,,d,u
p,11.16,o,,n,f,f,f,f,4.01,24.81,,g,n,,,f,f,,d,s
e,8.74,f,s,n,f,s,c,w,7.57,11.23,b,i,w,,,f,f,,l,a
p,17.55,x,s,g,f,s,,p,7.6,17.54,,i,n,,,f,f,,d,a
p,10.55,x,y,y,f,a,c,n,12.1,14.13,,y,y,,,t,,,d,u
p,1.23,x,g,y,f,d,d,n,1.27,2.19,,s,n,,,f,f,,d,u
p,3.65,x,t,l,f,s,c,u,5.45,7.04,,y,l,,,t,e,u,d,a
p,4.49,o,s,w,f,,c,w,0.0,0.0,f,f,f,,,f,f,n,d,a
e,15.15,f,s,w,f,a,d,y,5.76,18.76,,,w,,,f,f,w,d,a
p,7.88,s,,o,t,d,,o,4.9,12.7,,,w,,,t,f,,d,a
p,8.21,x,t,y,f,x,c,y,5.44,14.57,,,y,,,f,f,,d,a
p,1.76,p,t,n,f,a,c,n,6.83,2.62,,t,y,,,t,e,,m,s
e,3.77,x,,y,f,a,c,o,3.54,8.22,,,w,,,f,f,,d,u
p,9.11,s,d,n,t,d,c,w,7.11,11.31,,,n,,,f,f,,d,a
p,8.97,s,t,g,t,d,,w,4.76,13.82,,t,r,,,f,f,,d,u
e,7.33,x,h,y,f,p,,y,7.09,14.4,,,y,,y,t,,,d,u
p,7.54,x,w,p,f,s,c,p,4.48,10.11,,,p,,,f,f,,d,a
p,4.09,x,,w,f,x,c,p,8.11,4.09,,,p,,,f,f,,l,u
p,4.53,o,s,r,f,f,f,f,0.0,0.0,f,f,f,,,t,f,,d,w
e,1.52,x,s,n,f,a,,w,5.43,1.77,,t,y,,,f,f,,g,a
e,11.95,s,s,u,f,x,,n,7.4,21.77,,,p,,,f,f,,d,a
e,7.29,x,t,y,t,x,c,y,7.84,14.84,,,w,,,f,f,,d,u
e,5.34,s,l,n,f,f,f,f,7.0,45.29,,,n,,,f,f,g,d,w
p,7.76,f,h,r,f,,c,w,10.59,13.36,,,w,u,w,t,g,,d,a
e,4.9,c,h,n,f,e,,w,11.28,10.58,,s,w,u,w,f,f,,d,a
e,6.94,f,s,n,f,s,c,w,5.66,10.18,b,i,w,,,f,f,,g,u
p,3.02,f,d,y,f,a,,y,4.79,6.47,,t,r,,,f,f,,g,a
e,5.01,x,,w,f,e,,w,5.65,11.72,b,,y,u,w,t,g,,d,a
e,6.0,x,h,n,f,x,c,n,5.67,5.54,,y,n,,,t,r,,d,u
p,9.9,x,e,n,t,p,,o,10.83,30.4,,,e,,,f,f,,d,u
e,12.97,s,,w,t,d,c,y,7.16,28.5,,,w,,,f,f,,d,a
p,4.07,f,y,w,f,e,c,n,4.99,3.76,,k,w,,,t,e,,d,a
p,0.67,x,g,e,f,a,,n,3.57,0.97,,s,k,,,f,f,,d,a
e,7.2,x,y,n,f,e,c,p,6.05,9.94,,y,n,,,f,f,,d,u
e,4.24,x,s,o,f,p,,n,5.51,11.26,,,n,,,f,f,,d,a
e,8.31,x,,g,t,p,,g,11.06,24.89,,y,w,,,f,f,,d,u
p,8.75,b,y,n,f,,,p,17.22,17.9,,,w,,,f,f,,d,a
p,3.87,f,,u,f,a,,w,4.07,7.03,,,w,,,f,f,,d,a
e,19.37,x,d,e,f,p,,w,16.61,35.52,s,y,w,,,f,f,,d,u
p,3.52,b,y,n,f,,c,g,6.21,4.6,s,s,w,,,f,f,,d,u
e,4.32,x,t,o,f,p,,n,5.01,12.1,,,e,,,f,f,,d,u
p,7.21,f,k,n,f,d,c,n,5.67,7.36,,i,y,,,t,,,d,u
e,2.42,x,s,o,f,a,c,e,3.88,5.84,,,o,,,f,f,,m,w
p,9.9,x,,n,t,x,,u,8.94,19.98,s,,u,,u,f,f,,d,a
p,8.49,x,,n,f,p,,p,9.82,27.82,c,,n,,,f,f,p,d,u
p,1.28,x,s,y,f,f,f,f,3.4,5.49,,,y,,,f,f,,d,u
e,12.63,x,s,u,f,x,,n,9.49,28.69,,,n,,,f,f,,d,a
p,5.02,x,s,y,f,a,c,y,5.71,6.78,,g,o,,,f,f,,g,a
p,4.88,f,,u,f,a,,w,4.96,8.37,,,w,,,f,f,,d,u
e,9.57,f,e,b,f,,c,b,4.81,19.81,,,w,,,t,f,,d,a
p,8.82,x,t,n,t,d,c,n,3.77,13.56,,,n,,,f,f,,d,u
e,11.72,f,s,n,f,a,d,w,10.1,15.96,,i,n,,,t,,w,d,a
p,4.06,o,,w,f,f,f,f,5.04,25.81,,g,w,,,t,f,,d,a
p,5.2,b,s,n,f,,,w,8.95,12.2,,s,w,,,t,z,,d,w
p,2.06,b,g,y,f,,c,n,6.49,3.05,,,n,,,f,f,,d,a
p,3.47,f,d,n,f,x,c,w,4.16,3.08,b,s,n,,,f,f,,l,a
e,4.79,x,t,n,f,p,,n,5.81,12.26,,,n,,,f,f,,d,a
p,7.75,s,t,p,t,d,c,p,7.98,16.46,,,p,,,t,f,,d,u
e,5.07,x,t,n,f,a,d,y,7.9,4.36,,k,n,,,f,f,,d,s
e,13.67,s,t,k,f,a,d,y,7.22,22.17,,,w,,,f,f,w,d,u
p,4.74,f,l,n,f,x,d,y,7.33,5.72,,,n,,,f,f,,l,u
p,10.03,f,,w,f,x,c,w,10.47,12.79,r,i,w,,,f,f,,d,u
p,3.48,f,,u,f,a,,w,3.99,5.66,,,w,,,f,f,,d,u
e,8.47,f,s,n,f,s,c,w,6.68,10.69,b,i,w,,,f,f,,d,u
e,8.32,x,t,n,t,p,,n,6.97,17.95,,,n,,w,t,p,,d,u
e,3.99,x,,y,f,a,c,y,3.84,9.59,,,w,,,f,f,,d,a
p,0.72,f,,o,f,d,,o,4.01,1.02,,,o,,,f,f,w,g,a
p,11.32,f,s,k,f,p,,y,4.56,25.11,,,n,,,f,f,,d,a
e,12.04,s,s,n,f,x,,n,7.57,21.95,,,w,,,f,f,,d,a
p,10.88,x,t,n,f,a,d,w,9.92,26.59,,,w,,,f,f,,d,a
p,1.57,b,,g,f,a,,g,4.59,1.67,,s,n,,,f,f,,d,a
p,3.55,b,y,n,f,,c,w,6.06,4.47,s,s,w,,,f,f,,d,a
p,0.89,x,g,n,f,a,,n,4.22,1.0,,s,k,,,f,f,,d,s
p,7.21,x,y,y,f,a,c,y,10.22,11.12,,y,n,,,t,,,d,u
e,11.13,x,h,n,t,p,,y,8.39,22.22,,,n,,,f,f,,d,u
p,3.29,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,s
p,1.2,o,k,n,f,,,n,3.28,1.16,,,n,,,f,f,,d,a
p,6.76,b,t,w,f,e,c,w,12.21,12.39,,y,w,u,w,t,l,,d,u
e,3.96,x,t,n,f,d,,o,6.02,8.28,,t,o,,,f,f,,d,a
e,6.52,s,,n,f,d,c,w,4.45,7.84,,s,w,,,f,f,,d,a
e,3.91,x,t,n,f,p,,n,4.45,10.67,,,n,,,f,f,,d,u
p,11.09,x,y,n,f,a,c,n,12.48,13.87,,y,y,,,t,,,d,a
p,9.22,p,,n,f,p,,p,9.72,29.18,c,,n,,,f,f,w,d,a
e,3.56,x,,b,f,,d,w,7.21,5.21,,,w,,,f,f,,d,w
e,20.97,p,d,o,f,p,,n,16.78,37.18,s,y,w,,,f,f,,d,a
p,3.51,x,t,n,f,s,c,p,5.83,9.32,,,w,,n,t,z,,d,a
p,1.9,b,g,o,f,,c,n,6.51,3.61,,,n,,,f,f,,m,a
e,11.67,x,i,n,t,e,,p,9.17,17.97,,y,w,,,t,p,,d,a
e,8.32,o,,n,f,,,w,5.08,23.28,,,n,,,f,f,,d,u
e,14.45,x,y,n,t,e,,w,9.43,16.68,,,w,,,t,,,g,u
e,9.12,s,,w,t,d,c,p,5.29,23.1,,,w,,,f,f,,d,a
p,6.16,x,e,e,f,a,,g,8.52,10.31,,,n,,w,t,z,,d,a
p,3.42,x,i,e,f,,,e,4.18,5.53,,,e,,,f,f,n,d,a
p,17.19,x,k,w,t,d,d,w,7.7,30.56,,,w,,,f,f,,d,u
p,3.85,b,t,r,f,s,c,g,5.35,6.87,,y,l,,,t,e,k,d,u
e,3.35,x,d,n,f,p,,n,4.24,9.38,,,y,,,f,f,,d,a
e,7.69,f,,y,f,a,c,w,4.82,12.96,,,w,,,f,f,,d,a
e,5.48,x,s,n,f,x,c,w,7.73,11.08,,s,n,,,f,f,,l,w
e,1.45,c,g,n,f,a,,w,4.71,1.49,,,g,,,f,f,,d,u
p,0.91,b,t,n,f,,c,g,3.64,2.44,,,n,,,t,f,,g,a
e,9.75,x,t,n,t,p,,y,6.48,15.67,,,n,,w,t,p,,d,a
e,3.49,b,g,g,f,a,d,g,4.45,3.26,,s,g,,,f,f,,d,u
p,3.95,x,t,y,f,a,c,y,5.61,6.98,,g,o,,,f,f,,g,a
p,12.03,x,e,y,t,p,,e,7.94,27.39,,,u,,,f,f,,d,a
p,4.47,f,l,n,f,x,d,y,5.63,5.16,,,n,,,f,f,,l,a
e,17.92,p,y,n,f,,,w,22.74,19.59,s,,n,,,t,m,,m,u
e,10.4,s,,w,t,d,c,y,5.63,23.17,,,w,,,f,f,,d,a
p,5.34,f,,n,f,d,c,y,4.87,8.69,b,,n,,,f,f,,l,a
e,3.85,f,h,n,f,,c,k,6.29,6.43,,s,w,,w,f,f,k,d,u
p,20.2,x,k,w,t,d,d,w,8.36,33.21,,,w,,,f,f,,d,u
p,8.32,s,d,e,t,d,c,w,6.06,8.54,,,e,,,f,f,,d,u
p,5.12,o,,n,f,f,f,f,1.93,22.27,,g,n,,,f,f,,d,u
p,5.1,o,s,n,f,,c,w,0.0,0.0,f,f,f,,,f,f,n,d,a
p,4.96,x,s,g,t,s,d,w,4.86,16.12,r,y,w,,,f,f,,d,a
e,7.35,x,y,y,f,,,w,6.79,22.34,b,,n,,w,t,e,,d,a
p,3.59,x,t,n,f,s,c,p,5.96,8.21,,,w,,n,t,z,,d,u
e,0.86,f,g,e,t,a,,p,5.34,1.04,,,n,,,f,f,,d,a
p,10.27,x,d,o,f,a,,y,14.28,24.11,r,,y,,,t,r,n,d,w
p,6.33,f,w,p,f,s,c,p,4.45,9.93,,,p,,,f,f,,d,w
e,8.49,x,h,n,t,p,,y,5.57,19.83,,,n,,,f,f,,d,a
e,3.83,x,l,w,f,d,,p,3.19,6.1,,,w,,,f,f,,g,u
e,6.69,x,s,k,f,a,c,w,4.35,13.66,,,w,,,f,f,,d,a
e,19.53,x,w,n,f,p,,y,17.89,75.59,,,n,,,f,f,,d,a
p,8.58,f,,y,f,x,c,n,6.55,11.7,,,w,,,f,f,,d,u
e,6.94,c,t,n,f,e,,w,13.06,13.02,,s,w,u,w,f,f,,d,a
e,10.0,s,,n,f,,,w,5.65,28.61,,,n,,,f,f,,d,a
e,1.76,x,w,n,f,,d,k,4.76,2.53,,,w,,,f,f,,g,s
p,3.62,s,d,y,f,d,c,o,3.54,5.75,,,o,,,f,f,,d,a
e,5.49,x,,w,f,a,,r,6.3,8.17,,,r,,,f,f,,l,a
p,2.49,x,g,n,f,a,,p,5.56,2.39,,,w,,,f,f,,d,a
p,4.25,s,,n,t,d,c,w,5.58,4.9,,,n,,,f,f,,d,a
e,8.53,x,s,n,f,d,d,w,7.45,12.65,,i,n,,,t,,w,d,u
p,4.59,b,t,n,f,,,k,10.69,5.62,,,w,,,t,,k,g,u
p,3.34,x,,n,f,x,c,p,7.51,3.83,,,p,,,f,f,,d,u
e,3.19,x,,y,f,a,c,o,3.71,8.37,,,w,,,f,f,,d,a
e,17.86,x,s,w,f,a,d,y,6.44,19.58,,,w,,,f,f,w,d,w
e,7.68,x,,n,f,x,c,w,7.16,16.58,,s,w,,,f,f,,d,u
p,11.09,f,,n,f,e,,w,10.42,14.36,,,w,u,w,t,e,,d,a
e,4.07,f,h,n,f,,c,n,7.05,6.6,,s,w,,w,f,f,k,d,u
p,8.1,x,y,n,f,a,c,n,11.3,12.04,,y,n,,,t,,,d,a
p,4.17,b,t,n,f,,,k,10.6,5.86,,,w,,,t,,k,g,a
e,12.39,s,,w,t,d,c,p,6.06,23.97,,,w,,,f,f,,d,a
e,4.21,x,,w,f,a,,r,6.53,7.66,,,r,,,f,f,,d,a
p,4.13,b,t,r,f,s,c,u,5.01,7.1,,y,w,,,t,e,k,d,a
p,7.58,s,h,g,t,d,,w,4.41,11.7,,t,g,,,f,f,,d,a
p,1.23,b,t,n,f,,c,k,3.77,2.59,,,n,,,t,f,,m,u
e,3.85,b,g,n,f,a,d,g,5.99,4.78,,s,n,,,f,f,,d,a
p,1.31,x,s,y,f,f,f,f,3.25,5.54,,,y,,,f,f,,d,a
e,5.96,b,h,k,f,s,d,g,6.36,11.34,,s,g,,,f,f,,d,a
p,1.07,s,s,y,f,f,f,f,2.67,4.58,,,y,,,f,f,,d,a
e,8.93,o,,n,f,,,w,4.36,21.62,,,n,,,f,f,,d,a
e,8.95,s,,n,f,,,w,5.17,24.87,,,n,,,f,f,,d,u
e,8.9,f,,g,f,d,c,w,2.54,16.28,,,w,,,f,f,,d,w
p,4.74,s,k,y,f,p,,n,2.87,4.46,,k,n,,,t,f,,d,u
e,9.4,s,,n,f,,,w,5.06,25.12,,,n,,,f,f,,d,a
p,4.91,o,,w,f,f,f,f,5.77,25.92,,g,w,,,t,f,,d,u
p,2.58,f,h,n,f,,,y,9.08,3.35,,,y,,,f,f,,g,u
p,5.57,f,,n,f,d,c,y,4.59,8.49,b,,n,,,f,f,,d,a
e,3.73,b,g,n,f,a,d,g,5.21,3.0,,s,n,,,f,f,,d,a
p,14.28,x,g,e,f,e,,w,17.77,17.12,s,y,w,u,w,t,p,,d,u
p,4.16,x,h,o,f,a,c,y,5.75,6.93,,g,o,,,f,f,,g,a
e,15.01,x,y,n,t,e,,w,10.41,18.42,,,w,,,t,,,d,a
p,3.34,x,d,w,f,d,d,w,3.78,2.55,,h,w,,,f,f,,g,u
e,9.76,f,s,w,f,s,c,w,7.79,26.64,,,w,,,f,f,,m,s
p,12.75,x,s,n,t,p,,o,7.9,27.55,c,,y,,,f,f,,d,u
e,10.11,s,,n,f,s,c,g,8.26,22.36,b,,u,,,f,f,,g,a
p,15.24,f,t,n,t,d,c,n,4.73,26.3,,,n,,,f,f,,g,u
p,25.89,x,d,k,f,p,,y,5.57,46.92,,,n,,,f,f,,d,w
p,1.91,p,t,n,f,a,c,g,4.86,2.32,,t,y,,,t,e,,m,a
e,7.38,x,,n,f,x,c,w,9.16,23.46,,s,w,,,f,f,,d,u
p,1.53,x,,n,f,,,n,5.05,2.27,,s,n,,,f,f,k,g,u
e,4.2,x,t,n,f,p,,n,5.87,11.39,,,e,,,f,f,,d,u
e,3.7,f,h,n,f,,c,n,6.58,7.18,,s,w,,w,f,f,k,d,a
p,7.04,s,d,n,t,d,c,y,5.92,8.64,,,e,,,f,f,,d,a
e,5.64,x,h,n,f,e,,w,12.55,12.61,,s,w,u,w,f,f,,d,u
p,4.54,b,t,l,f,s,c,g,6.66,7.93,,y,l,,,t,e,k,m,a
e,3.95,x,y,n,f,s,,y,3.6,5.81,,,w,,,f,f,,d,a
e,10.57,f,y,n,f,,,w,7.68,25.92,b,,n,,w,t,e,,d,a
p,3.25,f,s,w,f,d,c,w,2.65,6.87,,,w,,,f,f,,g,u
p,6.69,x,,n,t,x,,u,9.04,20.34,s,,u,,u,f,f,,d,a
e,8.2,f,s,u,f,x,,n,5.34,17.83,,,n,,,f,f,,d,u
p,9.39,x,i,n,f,a,,n,10.38,14.32,s,,n,,n,f,f,,d,a
p,11.77,f,,g,f,e,,w,10.91,14.76,,,w,u,w,t,g,,d,a
p,2.88,x,h,l,f,s,c,u,5.25,6.03,,y,n,,,t,e,k,g,a
p,10.9,x,t,n,t,d,c,n,6.22,15.73,,,n,,,f,f,,h,a
e,7.58,x,l,w,f,d,,w,3.38,9.47,,,w,,,f,f,,g,a
p,3.6,x,t,o,f,a,c,y,5.88,6.61,,g,o,,,f,f,,g,a
p,6.29,p,y,n,f,,,k,9.98,12.31,,s,w,,,t,z,,g,u
e,11.64,s,t,p,t,d,c,o,6.34,18.69,,,w,,,f,f,,d,a
p,4.26,s,,u,f,a,,w,5.73,9.13,,,w,,,f,f,,d,a
e,3.16,b,y,n,f,,c,k,6.25,2.9,,,w,,,f,f,,d,a
e,4.28,f,t,n,f,d,,o,6.74,9.15,,t,w,,,f,f,,d,w
p,15.65,s,t,r,t,d,c,n,5.43,26.39,,,n,,,f,f,,d,a
e,10.6,f,,n,f,s,c,u,8.47,21.89,,,u,,,f,f,,d,a
p,3.85,f,,e,f,x,,w,4.83,6.09,,,w,,,f,f,,d,a
p,3.86,x,h,r,f,s,c,n,6.11,8.04,,y,w,,,t,e,k,m,u
e,7.3,x,d,y,t,p,,y,5.41,11.99,,,y,,,f,f,,d,u
e,1.04,b,g,w,f,,,g,3.03,1.5,,,w,,,f,f,,d,a
e,8.17,x,t,y,f,p,,y,7.42,14.38,,,y,,y,t,,,d,u
e,6.51,p,,g,f,f,f,f,5.92,21.15,,,n,,,f,f,,l,s
e,4.32,x,,w,f,x,c,n,7.62,8.81,b,,n,,w,t,,,d,s
p,9.59,s,t,k,t,d,c,b,4.56,24.12,,,g,,,f,f,,g,a
e,3.97,x,,w,f,x,c,n,6.28,3.74,,,w,,,f,f,,d,u
p,8.37,s,t,y,f,x,c,y,4.6,15.13,,,y,,,f,f,,d,a
e,43.42,o,y,y,f,p,,y,6.22,25.07,,k,n,,,f,f,,d,u
e,7.59,x,,g,t,p,,g,10.65,24.01,,y,w,,,f,f,,d,a
e,3.24,x,,u,f,,d,u,7.11,4.97,,,w,,,f,f,,d,w
p,2.82,f,w,y,f,a,,r,5.16,6.57,,t,r,,,f,f,,m,a
p,3.47,o,s,n,f,f,f,f,0.0,0.0,f,f,f,,,t,f,,d,w
p,7.35,x,h,e,f,x,d,w,6.18,17.22,b,,w,,,f,f,,d,a
e,8.37,x,s,n,f,e,c,p,6.04,9.91,,i,n,,,f,f,p,d,u
p,8.62,x,y,w,t,,,p,8.04,14.57,s,,w,,,t,l,,d,u
p,5.27,b,h,n,f,,,k,11.7,7.05,,,w,,,t,,k,g,u
p,2.73,x,t,n,f,s,c,p,4.94,7.3,,,w,,n,t,z,,d,a
e,4.67,x,h,n,f,x,c,n,5.18,5.67,,y,n,,,t,r,,d,s
p,8.11,f,y,y,f,s,c,y,7.56,16.94,,y,y,,,f,f,,d,a
e,2.7,s,y,n,f,d,d,p,6.32,3.57,,i,n,,,f,f,,h,u
p,14.69,f,t,g,t,d,c,w,4.83,26.64,,,r,,,f,f,,l,u
e,3.96,x,,r,f,a,,r,5.94,7.83,,,w,,,f,f,,d,a
e,8.21,f,,n,t,,,w,9.75,18.33,b,,w,u,w,t,g,,d,u
e,4.15,x,s,n,f,p,,n,4.07,10.22,,,n,,,f,f,,d,a
e,23.82,x,t,n,f,p,,w,21.98,88.16,,,n,,,f,f,,d,a
e,10.96,f,,n,t,,,w,12.01,22.12,b,,w,u,w,t,g,,d,u
p,3.97,x,,y,f,x,,w,4.99,6.79,,,w,,,f,f,,d,u
p,7.88,x,i,n,f,a,,n,7.03,11.77,s,,n,,e,f,f,,h,a
e,2.99,b,g,n,f,x,d,w,4.19,2.78,,,y,,,f,f,,g,u
p,4.66,x,,p,f,,c,g,3.8,12.79,,,y,,,f,f,,d,a
p,13.7,x,s,n,t,p,,e,9.15,29.69,c,,y,,,f,f,,d,u
e,10.53,x,s,n,f,e,c,p,6.71,9.93,,i,w,,,f,f,p,d,s
p,3.77,b,y,r,f,s,c,n,5.88,6.91,,y,w,,,t,e,k,d,u
p,1.7,o,k,n,f,,,n,4.3,1.77,,,n,,,f,f,,d,s
p,5.11,x,k,n,f,a,c,y,4.64,5.6,,i,n,,,t,,,d,a
p,6.66,x,t,y,f,x,c,y,6.18,17.11,,,y,,,f,f,,d,a
e,9.05,f,s,k,f,a,c,w,4.63,17.31,,,w,,,f,f,,d,u
p,1.69,f,i,k,f,a,,p,3.7,2.48,,,w,,,f,f,p,g,a
p,4.11,o,s,y,f,f,f,f,0.0,0.0,f,f,f,,,t,f,,d,u
p,3.0,o,,w,f,f,f,f,4.48,28.22,,g,w,,,t,f,,d,a
p,3.0,f,s,g,f,d,c,w,3.59,8.31,,,w,,,f,f,,g,a
p,7.37,f,w,p,f,s,c,p,4.42,10.44,,,p,,,f,f,,d,a
p,3.16,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,u
e,8.95,s,,n,f,s,c,p,7.32,19.73,b,,u,,,f,f,,d,a
p,2.67,f,w,o,t,d,c,y,3.65,6.0,,,n,,,f,f,,d,a
e,5.05,x,h,n,f,a,d,n,5.49,4.44,,t,w,,,t,l,,d,u
e,3.98,f,t,n,f,d,,o,6.15,7.06,,t,o,,,f,f,,d,w
p,6.44,p,g,n,f,e,,w,7.61,13.59,,y,w,u,w,t,p,,d,u
p,1.84,b,,g,f,a,,g,4.95,1.98,,s,g,,,f,f,,d,a
p,8.35,x,,w,f,x,c,w,9.75,10.14,r,i,w,,,f,f,,h,u
e,4.28,o,l,n,f,f,f,f,5.99,38.97,,,n,,,f,f,g,d,u
e,16.83,f,y,n,f,,,w,26.42,21.05,s,,n,,,t,m,,d,u
e,4.0,b,g,w,f,x,d,w,5.26,3.2,,,y,,,f,f,,g,u
p,4.4,f,k,n,f,p,,n,3.92,5.45,,k,n,,,t,f,,d,u
p,8.82,x,,w,f,x,c,w,10.32,10.96,r,i,w,,,f,f,,d,a
e,9.17,f,e,b,f,,c,b,5.08,18.88,,,w,,,t,f,,d,a
p,8.9,x,,g,t,x,,u,9.3,20.32,s,,g,,u,f,f,,d,a
p,16.97,f,k,w,t,d,d,n,6.64,29.22,,,w,,,f,f,,d,w
p,2.81,s,d,w,f,a,d,p,3.59,2.6,,h,w,,,f,f,,g,a
